order_detail_id,order_id,book_id,quantity,price,total_amount,customer_id,author_id,order_date,categories
1,1,24,3,42.15,126.45,102,58,5/31/2024,Non-Fiction
2,1,813,1,25,25,102,656,5/31/2024,Romance
3,1,777,3,25.36,76.08,102,390,5/31/2024,Science Fiction
4,1,165,2,23.1,46.2,102,498,5/31/2024,Fiction
5,2,1725,3,34.18,102.54,822,218,6/10/2024,Fiction
6,2,130,2,24.49,48.98,822,131,6/10/2024,Non-Fiction
7,2,816,4,18.24,72.96,822,220,6/10/2024,Non-Fiction
8,2,1089,1,16.64,16.64,822,698,6/10/2024,Fiction
9,3,2004,5,34.42,172.1,1266,352,10/27/2023,Romance
10,3,2030,2,14.6,29.2,1266,801,10/27/2023,Science Fiction
11,3,1331,4,23.45,93.8,1266,523,10/27/2023,Fiction
12,3,2056,4,44.2,176.8,1266,580,10/27/2023,Fantasy
13,4,450,1,49.99,49.99,879,197,5/9/2023,Non-Fiction
14,4,87,2,33.32,66.64,879,10,5/9/2023,Fantasy
15,5,1410,5,37.94,189.7,1230,563,3/25/2024,Science Fiction
16,5,56,2,16.06,32.12,1230,647,3/25/2024,Fiction
17,6,1402,4,46.94,187.76,533,207,9/12/2023,Romance
18,7,33,4,8.79,35.16,306,433,10/5/2023,Mystery
19,7,1967,3,27.78,83.34,306,101,10/5/2023,Fantasy
20,7,1156,4,36.58,146.32,306,157,10/5/2023,Non-Fiction
21,7,339,4,49.15,196.6,306,372,10/5/2023,Fiction
22,7,1015,5,14,70,306,582,10/5/2023,Fiction
23,8,2095,2,13.55,27.1,183,197,12/13/2023,Science Fiction
24,8,1022,3,17.28,51.84,183,70,12/13/2023,Science Fiction
25,9,1080,2,9.92,19.84,754,620,3/17/2023,Romance
26,10,813,4,25,100,349,656,6/24/2023,Romance
27,10,423,5,33.77,168.85,349,481,6/24/2023,Fantasy
28,10,743,2,17.92,35.84,349,581,6/24/2023,Fantasy
29,10,610,2,19.94,39.88,349,722,6/24/2023,Fantasy
30,11,542,4,31.85,127.4,1162,565,8/28/2022,Romance
31,12,1122,2,24.49,48.98,241,763,2/15/2024,Science Fiction
32,13,1747,1,14.36,14.36,29,513,12/1/2022,Non-Fiction
33,13,818,1,20.33,20.33,29,192,12/1/2022,Science Fiction
34,14,1558,4,6.57,26.28,1472,736,11/17/2022,Fiction
35,15,1256,2,49.26,98.52,1077,460,5/16/2024,Non-Fiction
36,15,909,3,12.71,38.13,1077,551,5/16/2024,Mystery
37,15,1746,4,7.09,28.36,1077,455,5/16/2024,Mystery
38,15,252,5,20.5,102.5,1077,108,5/16/2024,Non-Fiction
39,15,1750,1,15.02,15.02,1077,693,5/16/2024,Non-Fiction
40,16,451,3,43.14,129.42,892,80,12/22/2023,Science Fiction
41,16,1490,3,27.18,81.54,892,318,12/22/2023,Science Fiction
